Rank,Feature,PCA_score,NMF_score,MI_score,Spearman_score,Hybrid_score,PCA_raw,NMF_raw,MI_raw,Spearman_raw
1,Credit_Mix_Score,1.0,0.8631340015842671,1.0,1.0,0.9657835003960668,0.2268434090042248,14.726036682214088,0.8595959874265038,0.9025840874555737
2,Interest_Rate_norm,0.8576805801534431,0.47843523870240706,0.7141397698042966,0.9128941882719519,0.7352660834211737,0.19824065475335134,8.52763148144094,0.6138716805854605,0.8250471165580644
3,Credit_History_Score,0.7823956468035392,0.7571854386026319,0.5434308926224841,0.8238945866307946,0.7225767471821369,0.18311020769473946,13.01895522741491,0.46713101474189056,0.7458243943832789
4,Num_Bank_Accounts_norm,0.7515670379485202,0.49562609639230826,0.584856338288507,0.8428304726271616,0.6595936428462601,0.17691440445209616,8.804616780048613,0.5027401616137586,0.7626801151703465
5,Delay_Score,0.5971603804060057,0.40804816902117463,0.6644762911636128,0.8918518344376845,0.6109150233539515,0.14588240836084618,7.3935296311750065,0.5711811536242868,0.8063163298918824
6,Savings_Rate,0.6571948072356867,1.0,0.24439927465553893,0.4597831111118295,0.6100854678631494,0.1579478732078275,16.931271006426392,0.2100846358238493,0.4217116822613112
7,Monthly_Inhand_Salary_norm,0.743780047267772,0.25591756338890315,0.39792626032845635,0.5895698227897691,0.5122194458915255,0.17534940804447013,4.942346450642078,0.3420558166699754,0.5372409252201419
8,Age_Risk_Proxy,0.7184744742447638,0.5614877244672724,0.12985935247196664,0.3536485510141949,0.47735011787260634,0.1702636011522342,9.86580308315251,0.11162657831470657,0.3272363294202976
9,Annual_Income_norm,0.6121475230938891,0.20846349538713785,0.42733738493410633,0.5835526637522324,0.46073475272600706,0.1488944608248492,4.177749393722729,0.3673375013666931,0.5318847695753752
10,EMI_Income_Ratio,0.5980772641930215,0.22319113815938685,0.25104591202972537,0.4580545587123431,0.3965944888216871,0.1460666797811829,4.415046485272439,0.215798058640579,0.42017301664951207
11,Debt_Burden_Ratio,0.2270391257554206,0.08098548750071738,0.5461982605853012,0.8142425649333003,0.3583960157758969,0.07149700613527801,2.123777758492788,0.46950983313846084,0.7372326769006695
12,Spending_Behaviour_Score,0.4405620407698408,0.2814258876495073,0.12266126009799928,0.39699448382187746,0.3147676737796025,0.11440993728460601,5.353345770149877,0.10543912699291891,0.3658205784383509
13,Occupation_Stability_Score,0.5155495820785485,0.34919835102230307,0.0,0.0,0.26774194148306774,0.12948061575029032,6.445320140673524,0.0,0.012437157425388775
14,Credit_Utilization_Ratio,0.0884405066869562,0.3871501144503734,0.052748874797844236,0.23748477821401598,0.17655164138459148,0.04364204266648462,7.0568126395025494,0.04534272111748994,0.22383350368149446
15,Investment_Ratio,0.0,0.0,0.09543089817346467,0.22625469718051333,0.057795929120443165,0.025867644194954187,0.8189103782310211,0.0820320171464175,0.21383708152553188
